grantee,routine_schema,routine_name,privilege_type
postgres,public,gbt_enum_fetch,EXECUTE
service_role,public,gbt_enum_fetch,EXECUTE
PUBLIC,public,gbt_enum_penalty,EXECUTE
anon,public,gbt_enum_penalty,EXECUTE
authenticated,public,gbt_enum_penalty,EXECUTE
postgres,public,gbt_enum_penalty,EXECUTE
service_role,public,gbt_enum_penalty,EXECUTE
PUBLIC,public,gbt_enum_picksplit,EXECUTE
anon,public,gbt_enum_picksplit,EXECUTE
authenticated,public,gbt_enum_picksplit,EXECUTE
postgres,public,gbt_enum_picksplit,EXECUTE
service_role,public,gbt_enum_picksplit,EXECUTE
PUBLIC,public,gbt_enum_same,EXECUTE
anon,public,gbt_enum_same,EXECUTE
authenticated,public,gbt_enum_same,EXECUTE
postgres,public,gbt_enum_same,EXECUTE
service_role,public,gbt_enum_same,EXECUTE
PUBLIC,public,gbt_enum_union,EXECUTE
anon,public,gbt_enum_union,EXECUTE
authenticated,public,gbt_enum_union,EXECUTE
postgres,public,gbt_enum_union,EXECUTE
service_role,public,gbt_enum_union,EXECUTE
PUBLIC,public,gbt_float4_compress,EXECUTE
anon,public,gbt_float4_compress,EXECUTE
authenticated,public,gbt_float4_compress,EXECUTE
postgres,public,gbt_float4_compress,EXECUTE
service_role,public,gbt_float4_compress,EXECUTE
PUBLIC,public,gbt_float4_consistent,EXECUTE
anon,public,gbt_float4_consistent,EXECUTE
authenticated,public,gbt_float4_consistent,EXECUTE
postgres,public,gbt_float4_consistent,EXECUTE
service_role,public,gbt_float4_consistent,EXECUTE
PUBLIC,public,gbt_float4_distance,EXECUTE
anon,public,gbt_float4_distance,EXECUTE
authenticated,public,gbt_float4_distance,EXECUTE
postgres,public,gbt_float4_distance,EXECUTE
service_role,public,gbt_float4_distance,EXECUTE
PUBLIC,public,gbt_float4_fetch,EXECUTE
anon,public,gbt_float4_fetch,EXECUTE
authenticated,public,gbt_float4_fetch,EXECUTE
postgres,public,gbt_float4_fetch,EXECUTE
service_role,public,gbt_float4_fetch,EXECUTE
PUBLIC,public,gbt_float4_penalty,EXECUTE
anon,public,gbt_float4_penalty,EXECUTE
authenticated,public,gbt_float4_penalty,EXECUTE
postgres,public,gbt_float4_penalty,EXECUTE
service_role,public,gbt_float4_penalty,EXECUTE
PUBLIC,public,gbt_float4_picksplit,EXECUTE
anon,public,gbt_float4_picksplit,EXECUTE
authenticated,public,gbt_float4_picksplit,EXECUTE
postgres,public,gbt_float4_picksplit,EXECUTE
service_role,public,gbt_float4_picksplit,EXECUTE
PUBLIC,public,gbt_float4_same,EXECUTE
anon,public,gbt_float4_same,EXECUTE
authenticated,public,gbt_float4_same,EXECUTE
postgres,public,gbt_float4_same,EXECUTE
service_role,public,gbt_float4_same,EXECUTE
PUBLIC,public,gbt_float4_union,EXECUTE
anon,public,gbt_float4_union,EXECUTE
authenticated,public,gbt_float4_union,EXECUTE
postgres,public,gbt_float4_union,EXECUTE
service_role,public,gbt_float4_union,EXECUTE
PUBLIC,public,gbt_float8_compress,EXECUTE
anon,public,gbt_float8_compress,EXECUTE
